Undecided,Age,HomeOwner,Female,Married,HouseholdSize,Income,Education,Church
0,37,0,0,1,2,114,18,1
1,48,1,1,1,2,49,15,1
1,44,1,1,0,2,47,20,0
0,65,0,1,1,5,32,8,0
0,39,1,1,1,3,167,18,1
0,49,1,1,1,4,216,12,0
1,39,1,1,1,4,84,15,1
1,54,1,1,0,2,136,18,0
0,46,1,1,1,3,63,9,0
0,56,1,1,1,2,88,20,1
0,54,1,0,1,2,82,9,0
0,48,1,1,0,1,68,10,0
0,65,1,1,0,1,111,20,1
0,54,1,1,1,2,47,8,1
1,42,1,1,1,3,138,15,1
0,45,0,1,1,3,96,8,1
0,49,1,1,1,4,167,20,1
1,38,1,1,1,5,160,15,1
0,41,1,1,1,4,75,12,1
1,51,1,1,0,1,92,18,0
1,73,0,1,1,2,90,20,0
1,37,1,0,1,3,136,15,0
1,58,1,1,0,1,75,20,0
1,65,1,1,1,4,171,20,0
1,47,1,1,1,5,96,15,0
0,33,1,1,1,4,81,8,0
0,49,1,0,1,6,111,12,1
0,44,1,0,1,7,135,20,0
0,47,1,1,1,5,234,12,1
1,57,1,1,0,1,40,13,0
0,50,1,0,1,4,62,20,1
1,40,1,1,1,6,78,15,1
0,45,1,0,1,6,190,16,0
1,51,1,1,1,4,150,18,0
1,38,1,1,1,4,130,15,0
0,44,1,1,0,1,113,20,1
0,49,1,1,1,4,247,8,1
1,38,1,1,1,3,131,18,0
0,55,1,0,1,4,61,18,1
0,43,1,1,1,4,119,20,1
1,55,1,1,1,5,176,18,0
0,55,1,1,1,3,78.5,20,1
0,54,1,0,0,1,99,18,0
1,48,1,1,1,6,88,18,0
0,43,0,0,0,1,24,8,1
1,43,1,0,1,5,18,13,1
1,58,0,1,1,4,83,20,0
0,59,1,0,0,3,71,20,0
1,51,1,1,1,3,164,13,1
0,74,1,1,1,3,99,20,1
1,55,1,1,1,5,51,20,0
1,31,1,0,1,6,151,15,0
1,51,1,1,1,3,127,18,0
1,44,1,1,1,3,94,15,1
0,52,1,1,1,4,190,10,1
0,54,1,1,1,3,92,20,1
0,66,1,0,1,2,68,20,0
0,48,0,0,1,3,85,20,0
0,54,1,0,1,4,126,18,1
1,48,1,1,1,5,127,18,0
1,64,1,0,1,3,100,16,0
0,76,1,0,1,3,22,20,0
1,62,0,1,0,3,65.5,20,0
0,54,0,1,1,4,107.5,18,1
0,53,1,1,1,6,214,18,1
1,39,1,0,1,4,91,15,0
0,46,1,0,1,6,77,8,1
0,69,0,0,1,4,85.5,10,0
0,53,1,0,1,2,85,20,1
1,39,1,1,1,4,118,15,1
1,43,1,1,1,4,233,18,0
0,61,1,1,0,3,17,20,1
0,66,1,1,0,2,38,20,1
0,44,1,1,1,3,157,12,1
0,52,0,1,0,1,69,20,1
1,45,1,1,1,5,61,20,0
0,60,1,0,1,2,134,20,0
1,37,1,1,1,3,161,18,0
0,47,1,1,1,3,101,12,1
0,46,0,1,1,4,123,18,1
1,46,1,1,0,1,85,18,0
1,61,1,1,1,5,108,20,0
1,51,1,1,1,2,60,18,0
0,41,1,1,1,4,99,18,1
1,57,1,1,1,5,87,16,0
0,47,1,0,0,1,94,20,0
1,43,1,1,1,3,73,15,1
0,50,1,1,1,3,44,18,1
0,35,1,0,1,3,90,18,1
0,39,1,0,0,1,55.5,8,0
0,53,1,1,1,5,24,18,1
0,52,1,1,1,4,57,8,0
0,55,1,0,1,4,237,20,0
0,56,1,0,1,4,56,20,1
0,58,1,0,1,2,55,8,1
0,48,1,0,0,1,163,20,1
0,69,1,1,1,2,30,20,1
1,52,1,1,1,4,150,20,0
1,54,1,0,1,2,63,13,0
1,42,1,1,0,1,108,15,0
0,33,1,1,1,2,111.5,8,0
1,37,0,1,1,4,107,15,0
1,51,1,1,1,3,82,20,0
1,36,1,0,1,3,160,15,1
1,53,1,1,0,1,9,20,0
1,51,1,0,1,4,56,16,1
1,46,1,1,1,2,96,18,0
0,48,1,1,1,2,140,20,1
0,39,1,1,0,4,31,18,1
1,46,1,1,1,2,67,20,0
1,64,1,1,1,3,16,13,0
0,53,1,1,1,5,124,8,1
1,47,1,1,1,4,103,18,0
1,57,1,0,1,3,108,13,1
0,52,0,0,0,1,132,8,1
1,43,1,1,1,2,70,18,0
1,49,1,1,1,4,222,20,0
0,51,0,1,0,1,131.5,18,1
0,41,0,1,1,2,108,18,1
1,62,1,1,1,2,61,20,0
0,57,1,1,0,1,7,8,1
1,46,1,1,0,1,82,18,0
0,31,1,0,1,4,135,18,1
0,61,1,0,1,3,77,20,1
0,40,1,1,1,3,135,18,1
0,47,1,0,1,4,132,12,0
0,37,1,1,1,4,170,18,1
1,47,1,1,1,4,163,13,0
0,54,1,1,1,6,147,12,1
1,47,1,1,1,5,92,13,1
1,36,1,1,1,7,60,15,1
1,49,1,0,1,4,138,16,1
0,63,1,1,1,5,450,20,1
1,37,1,0,1,3,20,12,1
0,61,0,0,1,3,95,20,0
0,41,1,1,0,2,22,10,1
0,48,1,1,1,2,64,20,1
0,54,1,0,1,3,110.5,8,1
1,46,1,1,1,3,101,18,0
0,46,1,1,1,2,62,9,0
0,46,0,1,0,1,135.5,8,0
0,47,1,0,1,3,177,20,1
0,50,1,0,1,4,97,20,0
0,37,1,0,1,4,58,18,1
1,61,1,1,1,2,59,20,1
1,61,1,0,1,6,12,16,1
0,44,0,1,1,5,202,18,1
1,42,0,1,1,5,59,18,0
0,38,1,0,1,3,141,18,0
0,40,1,1,1,4,56,18,1
0,69,1,1,1,2,99,20,1
0,43,0,1,1,5,136,8,0
1,35,1,1,1,6,28,15,0
0,49,1,1,1,2,117,12,1
1,58,1,1,1,2,112,20,0
0,57,1,1,1,2,108,8,1
1,62,0,1,0,2,10,8,1
0,45,1,1,1,2,98,18,1
1,33,1,1,1,3,21,18,1
1,68,1,0,1,5,120,16,1
0,43,1,1,1,6,77,12,0
0,44,1,1,0,5,79.5,18,1
0,70,1,0,1,3,41,20,1
1,58,0,1,1,3,16,16,0
0,53,1,0,1,2,68,20,0
1,43,1,1,1,6,119,15,1
0,59,1,0,1,2,80,20,1
0,56,1,1,1,6,101,12,0
0,43,1,1,1,4,85,20,1
0,51,0,0,1,3,107,9,0
1,73,1,1,1,3,64,16,0
0,54,0,0,1,3,49,8,0
0,43,0,1,1,2,107,20,1
1,49,1,1,1,4,154,15,1
1,51,1,0,1,6,159,16,1
0,52,1,0,0,1,66,20,0
1,47,1,1,0,1,34,20,0
1,45,1,1,0,1,5,18,0
0,75,1,1,0,1,67,20,1
0,43,1,1,1,5,87,8,0
1,32,1,1,1,3,37,15,0
1,64,1,1,1,4,75,20,0
1,70,1,1,0,1,115,20,0
0,52,1,1,1,2,69.5,20,1
0,52,1,0,1,3,43,10,0
0,48,1,0,1,3,90,20,0
0,51,1,1,1,2,155,18,1
0,70,0,1,0,1,98,8,1
0,34,1,1,1,3,4,18,1
1,34,1,0,1,3,126,15,0
1,53,1,1,1,5,56,15,1
1,31,1,0,1,5,108,15,1
0,43,1,1,1,3,94,18,1
0,50,1,0,0,2,118,20,1
0,46,1,0,1,5,153,18,1
1,64,1,0,1,4,142,20,0
1,59,1,1,1,4,40,20,0
0,42,1,1,1,4,196,18,1
1,37,1,0,1,5,48,15,1
1,49,0,1,1,3,112,13,0
0,46,1,1,0,1,366,18,1
1,60,0,1,1,2,113,20,0
0,54,1,1,1,4,46,18,1
0,40,1,1,1,6,270,15,0
0,50,1,0,1,4,152,18,1
1,31,1,0,1,5,136,15,1
0,45,1,1,1,3,134,18,1
0,65,1,1,0,4,58,8,0
0,36,1,1,1,5,91,18,1
0,42,1,1,1,6,239,12,0
0,35,0,1,1,6,152,12,1
1,58,1,1,1,3,88,20,0
0,37,1,1,1,5,142,18,1
0,49,0,0,1,7,117,8,0
0,34,1,1,1,4,94,12,0
0,35,1,1,1,6,229,15,1
0,54,1,1,1,2,32,20,1
0,42,1,1,0,1,216,18,1
1,48,1,1,0,1,61,18,0
1,31,1,1,1,4,109,15,1
1,57,1,1,1,2,50,16,1
0,55,0,0,1,5,37.5,8,1
1,36,1,1,1,6,142,15,1
1,47,1,0,0,2,31,18,1
0,45,1,0,1,3,258,8,0
1,29,1,1,1,7,131,15,0
1,68,1,1,1,4,63,16,0
0,59,1,1,0,1,41,20,1
0,42,1,1,0,3,48,18,1
0,61,1,0,1,3,127,20,0
0,59,1,0,1,4,219,16,1
1,44,1,0,0,1,59,18,1
1,41,1,0,1,3,70,15,0
0,43,1,1,1,3,260,20,1
1,55,1,1,1,2,178,18,0
0,43,0,1,0,1,25,8,0
1,45,0,1,1,3,6,20,0
1,62,1,1,0,1,131,20,0
0,46,1,1,1,6,205,12,0
0,61,1,1,1,3,26,20,1
1,47,1,1,1,7,165,15,1
0,47,1,1,0,2,113,18,1
0,53,1,1,1,5,220,20,1
0,44,1,1,1,2,235,8,1
0,45,1,1,0,4,11,18,1
1,69,1,1,1,3,218,20,0
0,46,1,1,1,4,187,12,1
1,37,1,1,1,2,81.5,15,0
1,57,1,1,1,3,68.5,15,0
1,50,1,1,1,2,83,15,1
0,51,1,1,1,5,539,18,1
0,41,1,1,0,1,491,18,1
0,34,1,1,1,4,290,15,0
1,69,1,1,0,2,50,20,0
0,30,1,1,1,6,291,15,0
1,48,0,1,1,2,210,20,0
0,60,1,1,0,2,75,20,1
0,58,1,1,0,1,107.5,8,1
0,55,1,1,1,6,107,20,1
1,30,1,0,1,2,158,15,0
0,30,1,1,1,5,504,15,0
0,53,1,0,1,2,159,10,0
0,45,1,0,1,3,179,16,0
1,42,1,1,0,1,64,20,0
1,58,1,1,1,6,18,15,1
1,34,1,1,1,6,173,15,1
0,54,1,1,0,1,48,18,1
1,62,1,1,0,1,30,20,0
0,32,1,1,1,4,424,15,0
0,36,1,1,1,4,127,18,1
0,49,1,1,1,4,45.5,18,1
0,34,1,1,1,2,256,15,0
1,37,1,1,1,5,17,15,0
0,44,1,1,1,4,130,12,0
1,60,1,1,1,2,102,20,0
1,41,1,0,1,4,56,15,1
0,43,1,0,1,3,131,12,1
0,51,0,0,1,2,58,18,1
0,50,0,0,1,2,47,8,1
0,63,1,1,1,2,110,20,1
0,32,0,0,1,3,187,12,0
0,36,1,1,0,1,94,9,0
0,48,1,1,0,1,44,18,1
1,55,1,1,1,5,52,20,0
1,47,1,1,1,6,17,15,0
0,47,1,1,1,4,88.5,20,1
0,34,1,0,1,4,175,15,0
0,43,1,1,1,4,38,8,1
1,47,1,1,1,3,137,18,0
0,32,1,1,1,5,96,8,0
1,48,1,1,1,4,144,18,0
1,41,1,1,1,6,132,15,0
0,63,1,0,1,4,22,8,1
0,40,1,0,0,3,60,8,0
0,49,1,1,1,3,124,18,1
1,43,1,1,1,3,21,18,0
1,62,0,1,0,1,44,20,0
0,68,1,0,1,3,122,20,1
0,52,1,1,1,4,24,10,0
0,41,0,1,0,3,26,8,0
0,54,1,0,0,1,111,20,1
1,44,1,1,1,6,67,15,0
0,58,1,0,1,5,344,16,0
1,64,1,1,1,2,120,20,0
0,47,1,1,0,2,48,18,1
0,28,1,1,1,7,82,12,1
0,35,1,0,1,4,189,18,0
1,51,1,1,1,2,56,20,0
1,50,1,1,0,1,85.5,15,1
0,43,0,1,0,6,22,10,1
0,53,1,1,1,2,47,10,0
1,49,1,1,1,4,171,20,0
0,42,1,1,0,3,57,12,0
0,45,1,1,1,5,184,9,1
0,45,1,1,1,4,183,15,1
0,47,1,1,0,1,491,15,0
0,48,1,1,1,2,64,20,1
1,48,1,1,1,3,182,20,0
0,56,1,0,1,2,62,20,0
1,59,1,1,1,3,98,20,0
0,53,1,1,1,6,69,12,1
0,40,1,1,0,3,14,18,1
1,46,1,1,1,3,55,18,0
1,57,1,1,1,4,96,20,0
1,53,1,0,1,6,27,16,0
0,55,1,1,0,2,52,9,0
1,56,1,1,0,1,46.5,18,0
0,64,1,0,1,4,115,20,0
0,53,1,1,0,2,28,10,0
0,67,1,0,1,4,70,20,0
0,44,0,0,1,5,199,15,1
1,34,0,1,1,2,116,18,0
1,49,1,1,1,2,146,18,0
0,49,1,1,1,2,47,8,0
1,45,1,0,1,5,113,16,0
0,60,0,0,0,2,5,20,1
1,47,1,1,1,5,88,15,0
0,58,1,1,1,4,84,18,1
0,42,1,1,1,3,75,12,1
0,43,1,1,1,3,55,18,1
0,60,1,1,0,1,90,20,1
1,45,1,1,1,7,187,13,1
0,67,1,1,0,1,4,20,1
0,50,1,1,1,3,33,18,1
1,68,1,1,0,1,37,13,1
0,39,1,0,1,3,174,8,1
1,39,1,1,0,1,88,18,0
0,57,1,1,1,5,301,15,0
1,54,1,1,1,5,101,16,1
1,46,1,1,1,5,162,20,0
1,49,1,1,1,6,145,15,0
0,57,1,1,0,1,158,18,1
0,62,1,0,1,3,21,10,0
0,45,1,1,1,5,80,18,1
0,67,1,1,1,2,236,20,1
1,40,1,0,1,4,151,15,0
1,44,1,1,1,5,73,15,0
1,66,1,1,0,1,80,20,0
1,55,1,1,1,5,144,20,0
1,35,1,1,1,3,136.5,15,1
1,34,1,1,1,2,135,15,1
1,52,1,0,0,1,106,15,1
0,36,1,1,1,4,84,18,1
0,54,1,1,1,3,54,20,1
0,45,1,1,1,2,91,18,1
1,55,1,1,1,2,6,18,0
0,32,1,1,1,5,225,15,0
0,49,0,0,1,4,104,18,0
1,50,1,1,1,3,128,20,0
1,66,1,1,1,6,90,13,1
0,67,1,1,0,1,6,20,1
0,38,0,1,1,4,79,8,0
1,32,1,1,1,7,82,15,1
1,35,1,1,1,3,72,18,0
0,47,1,1,1,3,86,12,0
0,47,0,1,0,1,140,8,1
1,54,1,1,1,2,113,18,0
1,58,1,1,1,2,143,20,0
1,39,1,1,1,3,149,15,1
1,41,1,0,1,5,53,16,0
0,50,1,1,0,1,63,18,1
0,43,0,1,1,5,122,8,0
0,56,1,1,1,2,41,20,1
1,42,1,1,1,3,70,18,0
0,48,0,0,0,1,145,20,0
1,48,0,1,0,1,4,20,0
1,55,0,1,1,4,133,15,0
0,71,0,0,1,2,38,8,1
1,48,1,1,1,4,145,18,0
1,42,1,1,1,4,162,15,1
0,52,1,0,1,5,139,18,1
1,49,1,1,1,2,95,18,0
0,43,1,1,1,4,285,15,0
0,48,1,1,1,5,160,8,0
0,50,1,1,1,4,271,15,1
1,34,1,1,0,2,77,15,0
0,34,1,0,0,2,12.5,8,1
0,56,1,1,0,1,88,20,1
0,50,1,0,0,5,46,12,1
0,61,1,1,1,2,11,8,0
0,47,1,0,1,3,41,12,1
1,34,1,1,1,3,134,15,0
0,44,1,1,1,4,247,15,0
0,53,1,1,1,4,174,20,1
1,50,1,1,0,1,41,20,0
0,67,1,0,1,6,9,20,1
0,62,1,1,1,5,137.5,20,1
0,39,1,1,1,4,477,15,1
0,54,1,1,1,2,90,20,1
1,44,1,1,1,7,73,15,1
0,47,0,1,1,3,63,8,0
0,54,1,1,1,6,26,8,0
1,64,1,0,1,2,93,13,1
1,48,1,1,1,2,137,20,0
1,47,1,1,1,3,45,16,1
1,62,1,1,1,2,76,20,0
0,38,1,1,0,1,236,8,0
0,40,1,1,1,2,38.5,8,0
0,44,0,1,1,2,80,8,0
0,67,1,0,1,4,114,20,0
0,59,1,1,1,3,139,20,1
0,49,1,1,1,5,152,9,0
0,59,1,0,1,2,46.5,20,0
0,52,1,1,1,3,209,18,1
1,50,1,1,1,3,66,15,1
1,54,1,1,1,3,82,16,1
1,40,1,0,1,5,101,15,1
0,47,1,0,1,4,154,8,1
0,53,1,0,1,3,167,20,1
0,33,1,0,1,6,178,15,1
1,42,1,0,0,1,79,15,1
0,43,1,1,1,3,40,20,1
1,57,1,1,1,5,88,16,1
1,57,0,1,1,6,33,20,0
0,56,1,1,1,2,181,16,0
0,48,0,1,0,3,57,8,1
0,52,1,1,0,1,146,20,1
1,45,1,1,1,3,121,18,0
0,49,1,0,0,2,239,18,0
0,43,1,1,0,2,80,8,1
0,48,1,1,1,2,62,18,1
0,50,1,0,0,1,25,20,1
0,32,1,1,0,4,56,8,0
0,63,1,0,1,4,47,20,0
0,50,1,1,1,3,105,8,1
0,64,1,1,0,1,46,20,1
0,57,0,1,1,3,131,8,1
1,49,1,1,0,1,57,20,0
1,52,1,1,1,3,97,15,1
0,47,1,1,1,4,81,18,1
1,30,1,1,1,2,54,15,0
0,55,0,1,1,3,96,18,1
0,54,0,1,0,2,15,8,0
0,53,1,1,1,2,54,20,1
0,44,1,1,0,4,41,12,1
1,46,1,0,1,5,62,15,0
0,32,1,1,1,4,109,12,1
1,58,1,1,0,1,55,20,0
1,68,1,1,1,4,43,20,0
0,37,0,1,1,4,110,12,0
0,43,1,0,0,1,186,20,0
0,50,1,1,1,5,127,18,1
1,73,1,1,0,2,12.5,16,1
1,47,1,1,1,5,147,15,1
1,44,1,0,1,3,118,15,0
0,47,1,1,1,3,159,18,1
0,39,1,1,1,3,68,18,1
1,41,0,1,0,1,10,15,0
0,47,0,1,1,5,299,12,0
0,56,1,1,1,2,28,20,1
0,63,0,1,1,4,28,20,1
0,30,1,1,1,5,128,12,1
0,47,1,0,1,3,120,20,0
1,51,1,1,1,6,18,15,1
1,32,1,1,1,6,146,15,0
0,40,1,1,1,6,121,12,1
0,36,1,1,1,4,102,9,1
0,47,1,0,1,4,77,18,1
1,48,1,1,1,4,133,18,0
0,59,1,1,0,1,59,20,1
0,47,1,1,1,4,133,9,1
0,46,1,1,1,4,258,15,1
1,42,1,1,1,2,168,15,0
1,43,1,1,1,2,88,18,0
0,55,1,1,1,6,154,10,1
1,35,0,1,1,3,120,15,1
1,53,1,1,1,4,109,18,0
1,34,1,1,1,5,133,15,0
0,38,1,1,1,3,84,12,1
0,50,0,1,1,3,91.5,9,0
1,46,1,1,1,4,104,15,1
1,36,1,1,0,2,54,12,1
0,44,1,0,1,3,70,18,1
1,43,0,1,1,2,120,20,0
1,33,1,1,1,5,56,15,1
0,35,1,0,1,3,22,18,1
0,38,1,1,1,5,211,15,0
0,37,1,1,0,1,196,18,1
0,40,1,1,1,5,324,8,1
0,41,0,1,1,3,21,8,1
1,55,1,1,1,2,71,20,0
0,43,1,1,1,3,147,12,0
0,41,1,1,1,2,71,18,1
0,43,1,1,1,3,119,18,1
0,59,1,0,1,4,364,20,1
0,59,1,1,1,3,47,20,1
0,62,0,1,1,3,50,10,1
0,51,1,1,1,4,79,20,1
1,40,0,1,0,4,17,15,0
1,63,0,1,1,6,50,16,1
1,49,1,0,1,5,108,15,0
1,41,1,1,1,5,151,15,0
1,50,1,1,1,3,183,18,0
0,50,1,1,1,3,101,20,1
0,67,1,0,1,3,22,10,1
0,70,1,1,1,5,457,16,1
0,63,1,0,1,4,165,20,1
0,43,1,1,0,4,63,20,1
0,41,1,1,1,6,51,12,0
0,45,0,1,1,3,193,15,0
1,64,1,1,1,2,124,20,0
0,40,1,1,1,2,214,18,1
0,45,1,1,1,2,59.5,9,0
1,54,1,1,1,4,97,16,1
0,57,1,1,0,1,33,8,0
1,65,1,1,1,3,84,20,0
1,43,1,0,1,4,91,13,1
0,54,1,1,1,2,143,20,1
0,65,1,0,1,5,139,20,0
1,52,1,1,1,4,108,18,0
0,37,1,1,1,3,81,9,1
0,54,0,1,0,3,87,18,1
1,46,1,1,1,3,108,20,0
0,52,1,0,1,3,97,20,1
1,40,1,1,1,3,119,15,0
0,32,1,1,1,7,114,12,1
0,40,0,0,1,3,84,8,1
0,48,1,1,1,4,176,20,1
0,51,1,0,1,5,93,20,1
0,47,1,1,0,1,24,20,1
0,47,0,1,0,1,32,8,0
0,59,0,1,1,3,63,8,1
0,47,1,1,1,2,36,18,1
0,37,0,1,1,3,130,9,1
1,45,1,1,1,5,86,15,1
0,47,1,1,0,1,102.5,20,1
0,67,1,1,1,2,193,8,0
1,65,0,1,0,1,157,20,0
0,48,1,1,1,5,121,20,1
1,57,1,1,1,6,103,20,0
0,66,1,1,0,1,51,20,1
1,52,1,0,1,7,114,16,1
1,69,1,1,1,3,121,20,0
0,60,0,1,1,3,17,8,1
0,40,0,0,0,2,62,18,1
0,47,1,1,0,1,87,9,1
1,42,0,0,1,6,132,15,1
0,48,1,1,1,5,329,20,0
0,64,0,1,1,3,30,20,1
1,46,1,1,1,5,4,16,0
0,41,1,1,1,5,197,13,1
0,52,1,1,0,1,162,20,1
1,48,1,1,1,5,134,16,0
0,61,1,1,1,3,95,20,1
1,64,1,1,1,3,153,20,0
1,50,1,1,0,2,25,20,0
1,53,1,1,1,4,39,20,0
1,52,1,1,1,5,21,16,0
1,45,1,1,1,4,218,18,0
1,58,1,1,1,3,39,20,0
1,59,1,1,1,2,132,16,0
0,41,1,1,1,3,85,20,1
0,37,1,1,1,4,76,18,1
1,74,1,1,1,4,21,20,0
0,39,1,1,1,7,144,18,1
0,46,0,1,1,6,114,8,1
0,50,1,1,1,5,13,20,1
0,62,0,1,1,5,64,8,1
1,43,1,1,1,2,66,9,1
1,31,1,0,1,3,79,15,1
0,70,1,1,1,2,68,20,1
0,55,1,1,1,3,489,18,0
1,63,1,1,0,1,55,20,0
0,46,1,1,1,3,133,9,0
1,48,1,1,1,2,40,18,0
0,55,1,1,1,4,120,20,1
0,52,0,1,1,3,5,12,1
0,49,1,0,1,5,69,18,1
0,65,0,1,1,5,175,20,1
1,34,1,1,1,4,167,15,1
0,41,1,1,1,3,144,12,1
0,61,1,0,0,1,133,8,0
0,45,1,0,1,4,186,15,0
0,53,1,1,1,6,56,20,1
0,42,1,1,1,5,256,18,1
0,44,1,1,1,4,90,12,1
0,59,1,0,1,4,43,20,1
1,49,1,1,0,3,39,18,0
0,50,1,1,1,5,494,18,1
0,46,1,1,1,5,89,12,1
0,36,1,1,1,2,136,8,0
1,50,1,1,1,4,84,15,1
0,43,1,1,1,3,124,18,1
0,50,0,1,1,2,83,20,1
0,47,1,0,1,2,72,20,0
1,65,1,1,1,2,62,20,0
0,39,1,1,1,7,323,8,0
0,42,1,1,1,2,5,8,1
0,43,1,1,1,3,5,20,1
1,52,1,1,1,3,79,18,0
0,33,1,1,1,6,99,12,0
0,42,1,1,1,4,142,18,1
0,47,1,1,1,3,134,18,1
1,37,1,0,1,2,57,15,0
0,52,1,1,1,4,121.5,20,1
1,50,1,1,0,1,72,18,0
0,36,0,0,0,2,40,18,0
0,49,1,1,1,6,102,20,1
1,42,0,1,1,6,41,18,0
0,58,1,0,1,4,14,8,0
0,50,0,1,1,5,99,18,1
1,45,1,1,1,3,91,20,0
1,48,1,1,1,6,124,18,0
0,46,1,1,0,2,88,20,1
0,43,1,1,1,4,71,18,1
0,43,1,1,1,3,78.5,18,1
0,40,1,0,1,4,204,12,1
0,59,1,0,1,4,90,8,0
0,48,0,0,1,3,17,8,1
0,44,1,1,1,5,455,15,1
0,54,1,0,1,3,175,15,0
0,47,1,1,1,5,84.5,8,1
0,38,1,1,1,5,58.5,8,1
1,41,0,1,1,5,74,15,0
1,69,1,1,1,2,26,16,0
0,69,0,0,1,2,96,20,0
1,62,1,1,1,4,67.5,20,0
0,34,1,1,1,4,77,18,1
0,47,1,1,1,3,427,18,0
0,34,1,0,1,5,95,18,0
0,55,1,1,1,5,285,10,1
1,30,1,1,1,2,100,15,1
1,46,1,0,1,4,92,15,0
1,45,1,0,1,5,45,15,0
1,33,1,1,1,2,121,15,1
1,48,1,1,1,3,59,18,0
0,50,1,1,1,2,54,10,0
1,45,1,1,0,1,184,18,0
0,59,1,1,1,3,350,13,0
1,55,1,1,1,4,105,15,1
0,50,1,1,1,2,43,20,1
0,45,1,0,1,3,5,20,0
0,40,0,1,1,2,57,12,1
0,69,1,1,1,5,62,20,1
1,52,0,1,1,3,170,16,1
0,48,1,1,1,4,156,8,0
0,38,0,1,1,4,27,12,0
0,45,1,1,1,2,99,8,1
1,47,1,1,1,4,72,15,1
0,54,1,1,1,5,141,20,1
0,54,1,1,1,3,66,10,1
